RoadClass	RoadLengthKm	AADFPedalCycles	AADFTwoWheeledMotorVehicles	AADFCarsAndTaxis	AADFBusesAndCoaches	AADFLGVs	AADFTwoRigidAxleHGVs	AADFThreeRigidAxleHGVs	AADFFourOrMoreRigidAxleHGVs	AADFThreeOrFourArticulatedAxleHGVs	AADFFiveArticulatedAxleHGVs	AADFSixArticulatedAxleHGVs	AADFAllHGVs	AADFAllMotorVehicles	AADF	RoadID	Year	geometry	SRefLatitude	SRefLongitude	LocalAuthority	EstimationMethod	EstimationMethodDetailed
discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	discrete	string	continuous	continuous	discrete	discrete	discrete
																meta	meta	meta	meta	meta	meta	meta	meta
PA	2.4	104.0	163.0	29324.0	722.0	2573.0	664.0	244.0	256.0	175.0	294.0	294.0	1927.0	34709.0	34813.0	3000	2005	LINESTRING (391650 387500, 389935 389086)	53.38574162	-2.12965042	Stockport	Counted	Manual count
TM	1.5	0.0	111.0	17939.0	68.0	3823.0	946.0	179.0	191.0	340.0	476.0	525.0	2657.0	24598.0	24598.0	6029	2005	LINESTRING (356162 401082, 356827 402040)	53.51288971	-2.654047289	Wigan	Estimated	Estimated using previous year's AADF on this link
TM	1.0	0.0	228.0	75389.0	264.0	10371.0	2570.0	563.0	496.0	621.0	1826.0	1414.0	7490.0	93742.0	93742.0	6046	2005	LINESTRING (382995 388868, 383960 389020)	53.39596279	-2.248093531	Manchester	Counted	Manual count
TM	1.0	0.0	341.0	109707.0	658.0	13968.0	3150.0	526.0	548.0	891.0	2118.0	1960.0	9193.0	133867.0	133867.0	6047	2005	LINESTRING (380976 386462, 381584 387212)	53.38086632	-2.278673113	Manchester	Estimated	Estimated using previous year's AADF on this link
TM	2.2	0.0	314.0	114625.0	576.0	22098.0	5992.0	740.0	754.0	2015.0	5804.0	4730.0	20035.0	157648.0	157648.0	6053	2005	LINESTRING (380927 404716, 382819 405920)	53.54484031	-2.276128119	Bury	Estimated	Estimated using previous year's AADF on this link
TM	1.3	0.0	496.0	111265.0	626.0	18746.0	3826.0	573.0	1472.0	750.0	2402.0	1770.0	10793.0	141926.0	141926.0	6058	2005	LINESTRING (375105 399054, 375273 397811)	53.48262877	-2.375902521	Salford	Estimated	Estimated using previous year's AADF on this link
TM	1.6	0.0	358.0	93892.0	158.0	14044.0	2685.0	606.0	831.0	557.0	1782.0	1984.0	8445.0	116897.0	116897.0	6059	2005	LINESTRING (380570 392250, 381450 390980)	53.42174547	-2.290376671	Trafford	Estimated	Estimated using previous year's AADF on this link
TM	2.0	0.0	259.0	81172.0	139.0	15496.0	3291.0	420.0	1002.0	728.0	1268.0	1376.0	8085.0	105151.0	105151.0	6061	2005	LINESTRING (382819 405920, 384343 404845)	53.54765815	-2.258035962	Bury	Estimated	Estimated using previous year's AADF on this link
PM	0.4	0.0	430.0	58543.0	280.0	9818.0	2058.0	313.0	651.0	226.0	465.0	423.0	4136.0	73207.0	73207.0	6069	2005	LINESTRING (384480 397280, 384846 397487)	53.47310691	-2.232423473	Manchester	Estimated	Estimated using previous year's AADF on this link
TM	1.6	0.0	101.0	25332.0	82.0	5370.0	1245.0	166.0	198.0	345.0	448.0	380.0	2782.0	33667.0	33667.0	6073	2005	LINESTRING (389629 410036, 389104 411535)	53.59172478	-2.162823481	Rochdale	Estimated	Estimated using previous year's AADF on this link
PA	1.3	120.0	91.0	12106.0	289.0	2500.0	540.0	50.0	74.0	27.0	72.0	31.0	794.0	15780.0	15900.0	6160	2005	LINESTRING (372000 403910, 370820 404560)	53.53189548	-2.426471584	Salford	Estimated	Estimated using previous year's AADF on this link
PA	0.9	184.0	436.0	42831.0	728.0	5083.0	984.0	159.0	220.0	55.0	209.0	162.0	1789.0	50867.0	51051.0	6161	2005	LINESTRING (381780 398800, 381170 399430)	53.487299	-2.278918761	Salford	Estimated	Estimated using previous year's AADF on this link
PA	1.6	111.0	172.0	21629.0	1256.0	3095.0	444.0	65.0	165.0	34.0	180.0	166.0	1054.0	27206.0	27317.0	6163	2005	LINESTRING (389935 389086, 389170 390450)	53.4074299	-2.160162275	Stockport	Estimated	Estimated using previous year's AADF on this link
PA	3.0	96.0	127.0	13862.0	317.0	2547.0	343.0	72.0	36.0	103.0	211.0	103.0	868.0	17721.0	17817.0	6511	2005	LINESTRING (356827 402040, 356908 404908)	53.53086197	-2.654927743	Wigan	Counted	Manual count
PA	1.4	103.0	114.0	15480.0	224.0	1528.0	289.0	72.0	31.0	10.0	51.0	17.0	470.0	17816.0	17919.0	6553	2005	LINESTRING (383792 399093, 383160 400300)	53.49643559	-2.252750184	Manchester	Counted	Manual count
PA	0.5	62.0	34.0	6239.0	522.0	924.0	155.0	15.0	29.0	7.0	9.0	8.0	223.0	7942.0	8004.0	6554	2005	LINESTRING (381280 396340, 381811 396214)	53.46312073	-2.278609493	Trafford	Estimated	Estimated using previous year's AADF on this link
PA	0.9	129.0	58.0	6980.0	100.0	1414.0	177.0	28.0	35.0	12.0	34.0	29.0	315.0	8867.0	8996.0	6562	2005	LINESTRING (380520 398250, 381380 398120)	53.47959351	-2.287502104	Salford	Counted	Manual count
PA	0.7	29.0	261.0	24577.0	262.0	4578.0	854.0	125.0	114.0	98.0	182.0	212.0	1585.0	31263.0	31292.0	6571	2005	LINESTRING (367100 406160, 367613 406679)	53.55433057	-2.491981272	Bolton	Estimated	Estimated using previous year's AADF on this link
PA	2.0	66.0	98.0	9601.0	70.0	1330.0	262.0	37.0	21.0	17.0	14.0	8.0	359.0	11458.0	11524.0	6572	2005	LINESTRING (372897 411234, 373660 409410)	53.58590723	-2.402997259	Bolton	Estimated	Estimated using previous year's AADF on this link
PA	0.5	67.0	98.0	10083.0	180.0	2189.0	369.0	60.0	97.0	28.0	23.0	49.0	626.0	13176.0	13243.0	6574	2005	LINESTRING (385573 410790, 386048 410736)	53.59343813	-2.216011578	Rochdale	Estimated	Estimated using previous year's AADF on this link
PA	0.4	29.0	154.0	26061.0	169.0	3712.0	767.0	67.0	91.0	56.0	82.0	56.0	1119.0	31215.0	31244.0	6575	2005	LINESTRING (389250 412780, 389318 413128)	53.61343963	-2.16340596	Rochdale	Estimated	Estimated using previous year's AADF on this link
PA	1.0	35.0	217.0	25405.0	381.0	3832.0	897.0	82.0	254.0	113.0	251.0	365.0	1962.0	31797.0	31832.0	6605	2005	LINESTRING (393352 405125, 394180 405630)	53.54599547	-2.092623238	Oldham	Estimated	Estimated using previous year's AADF on this link
PA	2.0	37.0	148.0	23830.0	565.0	3677.0	680.0	76.0	127.0	93.0	147.0	68.0	1191.0	29411.0	29448.0	6606	2005	LINESTRING (390570 402600, 391450 404390)	53.53258293	-2.132724495	Oldham	Counted	Manual count
PA	2.6	24.0	45.0	17458.0	157.0	1825.0	342.0	53.0	31.0	14.0	4.0	7.0	451.0	19936.0	19960.0	7256	2005	LINESTRING (378430 386640, 380390 385140)	53.36519789	-2.301367558	Trafford	Counted	Manual count
PA	1.3	70.0	69.0	7428.0	106.0	1035.0	205.0	55.0	19.0	10.0	17.0	20.0	326.0	8964.0	9034.0	7270	2005	LINESTRING (383840 388630, 385030 388370)	53.39458273	-2.241679359	Stockport	Estimated	Estimated using previous year's AADF on this link
PA	1.6	51.0	63.0	9457.0	211.0	1415.0	253.0	22.0	35.0	16.0	18.0	16.0	360.0	11506.0	11557.0	7272	2005	LINESTRING (393223 391978, 394440 392970)	53.43015329	-2.091768484	Stockport	Estimated	Estimated using previous year's AADF on this link
PA	1.9	48.0	75.0	4567.0	63.0	672.0	99.0	11.0	8.0	8.0	10.0	3.0	139.0	5516.0	5564.0	7287	2005	LINESTRING (360360 395850, 362100 396550)	53.46150787	-2.588988584	Wigan	Estimated	Estimated using previous year's AADF on this link
PA	1.5	43.0	141.0	17076.0	258.0	2173.0	371.0	76.0	196.0	32.0	106.0	80.0	861.0	20509.0	20552.0	7288	2005	LINESTRING (373000 400740, 374460 400690)	53.5034255	-2.393454651	Salford	Estimated	Estimated using previous year's AADF on this link
PA	0.4	51.0	195.0	19961.0	470.0	3283.0	435.0	55.0	68.0	40.0	88.0	39.0	725.0	24634.0	24685.0	7289	2005	LINESTRING (360460 402415, 360404 402788)	53.51992181	-2.5985768	Wigan	Estimated	Estimated using previous year's AADF on this link
PA	0.9	63.0	173.0	17395.0	361.0	2741.0	432.0	28.0	13.0	13.0	19.0	24.0	529.0	21199.0	21262.0	7291	2005	LINESTRING (373610 405250, 373390 406090)	53.54995308	-2.403198729	Bolton	Estimated	Estimated using previous year's AADF on this link
PA	0.8	75.0	97.0	19378.0	417.0	1610.0	431.0	76.0	101.0	21.0	25.0	48.0	702.0	22204.0	22279.0	7292	2005	LINESTRING (378160 398880, 378780 399210)	53.4890687	-2.325500707	Salford	Counted	Manual count
PA	0.3	55.0	184.0	20132.0	355.0	2848.0	398.0	52.0	375.0	83.0	106.0	65.0	1079.0	24598.0	24653.0	7293	2005	LINESTRING (384343 404845, 384575 405068)	53.54141312	-2.235363145	Bury	Estimated	Estimated using previous year's AADF on this link
PA	1.0	41.0	79.0	11265.0	478.0	2565.0	458.0	41.0	63.0	53.0	37.0	50.0	702.0	15089.0	15130.0	7294	2005	LINESTRING (356040 404630, 356980 405040)	53.53670027	-2.663844613	Wigan	Estimated	Estimated using previous year's AADF on this link
PA	1.5	43.0	112.0	11194.0	222.0	1733.0	273.0	35.0	72.0	12.0	53.0	52.0	497.0	13758.0	13801.0	7296	2005	LINESTRING (371060 402010, 371990 401130)	53.50940208	-2.43266908	Wigan	Counted	Manual count
PA	5.3	28.0	144.0	25527.0	78.0	4374.0	1103.0	228.0	336.0	172.0	533.0	464.0	2836.0	32959.0	32987.0	7300	2005	LINESTRING (366894 398300, 371490 400950)	53.4972975	-2.453694999	Wigan	Counted	Manual count
PA	2.0	26.0	233.0	44866.0	228.0	5270.0	851.0	121.0	229.0	44.0	121.0	84.0	1450.0	52047.0	52073.0	7301	2005	LINESTRING (375571 401867, 377290 400960)	53.51156545	-2.363371456	Salford	Counted	Manual count
PA	2.1	44.0	104.0	14240.0	140.0	2461.0	453.0	55.0	68.0	37.0	123.0	74.0	810.0	17755.0	17799.0	7391	2005	LINESTRING (394223 398971, 396225 398760)	53.48656652	-2.076820186	Tameside	Counted	Manual count
PA	1.7	62.0	83.0	15714.0	155.0	2554.0	360.0	33.0	33.0	43.0	95.0	46.0	610.0	19116.0	19178.0	7425	2005	LINESTRING (391517 413300, 390800 414710)	53.62246557	-2.133006862	Rochdale	Counted	Manual count
